"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"03/07/2026";"0600";"23,6";"23,9";"23,6";"100,0";"100,0";"100,0";"23,6";"23,9";"23,6";"1000,6";"1000,8";"1000,5";"0,0";"";"0,4";"";"0,0"
"03/07/2026";"0700";"23,1";"23,7";"23,1";"100,0";"100,0";"100,0";"23,1";"23,7";"23,1";"1000,2";"1000,6";"1000,2";"0,0";"";"1,0";"";"0,0"
"03/07/2026";"0800";"23,1";"23,1";"22,7";"100,0";"100,0";"100,0";"23,1";"23,1";"22,7";"1000,3";"1000,3";"1000,2";"0,0";"";"0,0";"";"0,0"
"03/07/2026";"0900";"22,3";"23,1";"22,3";"100,0";"100,0";"100,0";"22,3";"23,0";"22,3";"1000,8";"1000,8";"1000,3";"0,0";"";"0,0";"";"0,0"
"03/07/2026";"1000";"22,9";"22,9";"22,2";"100,0";"100,0";"100,0";"22,9";"22,9";"22,2";"1001,3";"1001,3";"1000,8";"0,0";"";"0,0";"125,20";"0,0"
"03/07/2026";"1100";"25,0";"25,0";"22,9";"100,0";"100,0";"99,0";"24,9";"24,9";"23,0";"1001,9";"1001,9";"1001,3";"0,1";"";"1,2";"793,10";"0,0"
"03/07/2026";"1200";"27,2";"27,2";"25,0";"87,0";"100,0";"85,0";"24,8";"25,2";"24,4";"1002,0";"1002,0";"1001,9";"1,8";"";"3,4";"1494,90";"0,0"
"03/07/2026";"1300";"29,3";"29,3";"27,3";"74,0";"88,0";"72,0";"24,1";"25,2";"23,3";"1002,0";"1002,1";"1002,0";"2,2";"";"4,4";"2266,00";"0,0"
"03/07/2026";"1400";"30,8";"30,8";"29,2";"63,0";"75,0";"61,0";"22,9";"24,6";"22,5";"1001,8";"1002,0";"1001,7";"1,2";"";"4,4";"2617,20";"0,0"
"03/07/2026";"1500";"32,0";"32,0";"30,8";"52,0";"64,0";"51,0";"21,0";"23,4";"20,2";"1001,3";"1001,8";"1001,3";"1,6";"";"5,7";"3008,40";"0,0"
"03/07/2026";"1600";"32,1";"32,8";"31,8";"52,0";"54,0";"48,0";"20,9";"21,9";"20,2";"1000,6";"1001,3";"1000,6";"2,2";"";"5,9";"2893,30";"0,0"
"03/07/2026";"1700";"32,8";"32,9";"32,1";"52,0";"56,0";"49,0";"21,6";"22,4";"20,4";"999,9";"1000,6";"999,9";"1,5";"";"7,0";"2851,20";"0,0"
"03/07/2026";"1800";"33,1";"33,2";"32,5";"50,0";"55,0";"50,0";"21,2";"22,4";"21,1";"999,2";"999,9";"999,2";"0,9";"";"6,9";"2522,30";"0,0"
"03/07/2026";"1900";"32,5";"33,3";"32,2";"53,0";"55,0";"47,0";"21,6";"22,1";"20,4";"999,0";"999,2";"999,0";"0,8";"";"5,5";"1859,40";"0,0"
"03/07/2026";"2000";"31,7";"32,7";"31,7";"52,0";"55,0";"49,0";"20,7";"22,1";"20,6";"998,9";"999,0";"998,8";"1,2";"";"4,9";"1222,90";"0,0"
"03/07/2026";"2100";"29,7";"31,7";"29,7";"63,0";"63,0";"52,0";"21,9";"22,1";"20,7";"999,5";"999,5";"998,9";"0,4";"";"4,5";"368,50";"0,0"
"03/07/2026";"2200";"27,3";"29,7";"27,3";"70,0";"71,0";"63,0";"21,4";"22,3";"21,4";"1000,0";"1000,0";"999,5";"0,4";"";"3,9";"6,20";"0,0"
"03/07/2026";"2300";"26,0";"27,3";"26,0";"77,0";"77,0";"69,0";"21,6";"21,8";"21,1";"1000,6";"1000,6";"1000,0";"0,1";"";"2,5";"";"0,0"
"04/07/2026";"0000";"25,3";"25,9";"25,3";"77,0";"77,0";"74,0";"21,0";"21,5";"20,7";"1001,3";"1001,3";"1000,6";"0,1";"";"1,9";"";"0,0"
"04/07/2026";"0100";"24,2";"25,3";"24,1";"83,0";"86,0";"77,0";"21,1";"21,8";"20,9";"1001,7";"1001,7";"1001,3";"0,0";"";"1,9";"";"0,0"
"04/07/2026";"0200";"23,8";"24,3";"23,8";"88,0";"88,0";"83,0";"21,6";"22,0";"21,1";"1002,0";"1002,1";"1001,7";"0,0";"";"0,4";"";"0,0"
"04/07/2026";"0300";"22,9";"23,8";"22,9";"90,0";"90,0";"86,0";"21,1";"21,6";"20,9";"1002,1";"1002,2";"1002,0";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0400";"22,1";"22,9";"22,1";"96,0";"96,0";"89,0";"21,5";"21,6";"20,8";"1001,7";"1002,2";"1001,7";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0500";"22,1";"22,2";"22,0";"92,0";"97,0";"91,0";"20,6";"21,5";"20,5";"1000,7";"1001,7";"1000,7";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0600";"21,6";"22,2";"21,6";"100,0";"100,0";"91,0";"21,6";"21,7";"20,6";"1000,2";"1000,7";"1000,2";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0700";"21,2";"21,6";"21,0";"100,0";"100,0";"100,0";"21,2";"21,6";"21,0";"999,9";"1000,2";"999,9";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0800";"20,7";"21,2";"20,7";"100,0";"100,0";"100,0";"20,7";"21,1";"20,7";"1000,2";"1000,2";"999,9";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"0900";"20,5";"20,8";"20,5";"100,0";"100,0";"100,0";"20,5";"20,8";"20,5";"1000,5";"1000,6";"1000,2";"0,0";"";"0,0";"";"0,0"
"04/07/2026";"1000";"21,1";"21,1";"20,2";"100,0";"100,0";"100,0";"21,1";"21,1";"20,2";"1001,3";"1001,3";"1000,5";"0,0";"";"0,0";"122,70";"0,0"
"04/07/2026";"1100";"24,0";"24,0";"21,1";"95,0";"100,0";"95,0";"23,2";"23,2";"21,2";"1002,0";"1002,0";"1001,3";"0,0";"";"0,0";"783,80";"0,0"
"04/07/2026";"1200";"27,0";"27,0";"24,0";"90,0";"96,0";"90,0";"25,3";"25,3";"22,9";"1002,2";"1002,2";"1002,0";"2,5";"";"4,9";"1517,90";"0,0"
"04/07/2026";"1300";"29,0";"29,2";"26,9";"71,0";"90,0";"70,0";"23,3";"25,3";"23,2";"1002,1";"1002,2";"1002,1";"2,7";"";"5,0";"2278,80";"0,0"
"04/07/2026";"1400";"30,4";"30,4";"29,0";"67,0";"73,0";"67,0";"23,5";"24,4";"23,1";"1002,1";"1002,2";"1002,0";"2,6";"";"5,6";"2653,50";"0,0"
"04/07/2026";"1500";"30,8";"31,5";"30,3";"67,0";"69,0";"62,0";"24,0";"24,6";"22,9";"1001,6";"1002,1";"1001,6";"2,1";"";"5,8";"2790,60";"0,0"
"04/07/2026";"1600";"32,5";"32,6";"30,8";"58,0";"69,0";"57,0";"23,1";"24,8";"23,0";"1000,9";"1001,6";"1000,9";"3,3";"";"7,0";"2713,20";"0,0"
"04/07/2026";"1700";"31,4";"32,9";"31,2";"65,0";"66,0";"56,0";"24,1";"24,1";"22,1";"1000,4";"1000,9";"1000,4";"1,2";"";"6,1";"1701,90";"0,0"
"04/07/2026";"1800";"32,2";"32,6";"31,4";"58,0";"65,0";"54,0";"22,8";"23,9";"21,8";"999,6";"1000,4";"999,6";"1,6";"";"5,2";"2326,90";"0,0"
"04/07/2026";"1900";"32,5";"33,1";"31,8";"56,0";"62,0";"55,0";"22,7";"24,1";"22,4";"999,3";"999,6";"999,2";"0,7";"";"3,6";"1787,60";"0,0"
"04/07/2026";"2000";"30,3";"32,5";"30,3";"70,0";"70,0";"56,0";"24,2";"24,2";"22,7";"999,7";"999,7";"999,3";"1,0";"";"3,7";"797,80";"0,0"
"04/07/2026";"2100";"28,3";"30,3";"28,3";"82,0";"82,0";"70,0";"25,1";"25,1";"24,1";"1000,1";"1000,2";"999,6";"0,0";"";"3,7";"75,40";"0,0"
"04/07/2026";"2200";"27,4";"28,3";"27,4";"88,0";"88,0";"82,0";"25,2";"25,4";"25,1";"1000,5";"1000,5";"1000,1";"0,1";"";"1,0";"2,00";"0,0"
"04/07/2026";"2300";"26,5";"27,6";"26,5";"96,0";"96,0";"88,0";"25,8";"26,1";"25,3";"1001,6";"1001,6";"1000,5";"3,4";"";"6,0";"0,20";"0,0"
"05/07/2026";"0000";"25,3";"26,5";"25,3";"100,0";"100,0";"96,0";"25,3";"26,2";"25,3";"1001,9";"1001,9";"1001,5";"0,0";"";"6,0";"0,10";"0,4"
"05/07/2026";"0100";"25,4";"25,7";"25,3";"100,0";"100,0";"100,0";"25,4";"25,7";"25,3";"1002,6";"1002,6";"1001,9";"0,9";"";"2,9";"";"0,0"
